name,terminology,code,term,code_type,RecordDate
CKD,ICD10,N00,Acute nephritic syndrome,1,20210127
CKD,ICD10,N01,Rapidly progressive nephritic syndrome,1,20210127
CKD,ICD10,N03,Chronic nephritic syndrome,1,20210127
CKD,ICD10,N052,Unspecified nephritic syndrome ;  Diffuse membranous glomerulonephritis,1,20210127
CKD,ICD10,N053,Unspecified nephritic syndrome ;  Diffuse mesangial proliferative glomerulonephritis,1,20210127
CKD,ICD10,N054,Unspecified nephritic syndrome ;  Diffuse endocapillary proliferative glomerulonephritis,1,20210127
CKD,ICD10,N055,Unspecified nephritic syndrome ;  Diffuse mesangiocapillary glomerulonephritis,1,20210127
CKD,ICD10,N056,Unspecified nephritic syndrome ;  Dense deposit disease,1,20210127
CKD,ICD10,N072,"Hereditary nephropathy, not elsewhere classified ;  Diffuse membranous glomerulonephritis",1,20210127
CKD,ICD10,N073,"Hereditary nephropathy, not elsewhere classified ;  Diffuse mesangial proliferative glomerulonephritis",1,20210127
CKD,ICD10,N074,"Hereditary nephropathy, not elsewhere classified ;  Diffuse endocapillary proliferative glomerulonephritis",1,20210127
CKD,ICD10,N10,Acute tubulo-interstitial nephritis,1,20210127
CKD,ICD10,N17,Acute renal failure,1,20210127
CKD,ICD10,N181,"Chronic kidney disease, stage 1",1,20210127
CKD,ICD10,N182,"Chronic kidney disease, stage 2",1,20210127
CKD,ICD10,N183,"Chronic kidney disease, stage 3",1,20210127
CKD,ICD10,N184,"Chronic kidney disease, stage 4",1,20210127
CKD,ICD10,N185,"Chronic kidney disease, stage 5",1,20210127
CKD,ICD10,N189,"Chronic kidney disease, unspecified",1,20210127
CKD,ICD10,N19,Unspecified kidney failure,1,20210127
CKD,ICD10,N25,Disorders resulting from impaired renal tubular function,1,20210127
CKD,ICD10,T861,Kidney transplant failure and rejection,1,20210127
CKD,ICD10,Y841,Kidney dialysis,1,20210127
CKD,ICD10,Z49,Care involving dialysis,1,20210127
CKD,ICD10,Z940,Kidney transplant status,1,20210127
CKD,ICD10,Z992,Dependence on renal dialysis,1,20210127
CKD,SNOMED,129151000119102,Chronic kidney disease stage 4 due to hypertension (disorder),1,20210127
CKD,SNOMED,129171000119106,Chronic kidney disease stage 3 due to hypertension (disorder),1,20210127
CKD,SNOMED,324121000000109,Chronic kidney disease stage 1 with proteinuria (disorder),1,20210127
CKD,SNOMED,324151000000104,Chronic kidney disease stage 1 without proteinuria (disorder),1,20210127
CKD,SNOMED,324181000000105,Chronic kidney disease stage 2 with proteinuria (disorder),1,20210127
CKD,SNOMED,324211000000106,Chronic kidney disease stage 2 without proteinuria (disorder),1,20210127
CKD,SNOMED,324251000000105,Chronic kidney disease stage 3 with proteinuria (disorder),1,20210127
CKD,SNOMED,324281000000104,Chronic kidney disease stage 3 without proteinuria (disorder),1,20210127
CKD,SNOMED,324311000000101,Chronic kidney disease stage 3A with proteinuria (disorder),1,20210127
CKD,SNOMED,324341000000100,Chronic kidney disease stage 3A without proteinuria (disorder),1,20210127
CKD,SNOMED,324371000000106,Chronic kidney disease stage 3B with proteinuria (disorder),1,20210127
CKD,SNOMED,324411000000105,Chronic kidney disease stage 3B without proteinuria (disorder),1,20210127
CKD,SNOMED,324441000000106,Chronic kidney disease stage 4 with proteinuria (disorder),1,20210127
CKD,SNOMED,324471000000100,Chronic kidney disease stage 4 without proteinuria (disorder),1,20210127
CKD,SNOMED,324501000000107,Chronic kidney disease stage 5 with proteinuria (disorder),1,20210127
CKD,SNOMED,324541000000105,Chronic kidney disease stage 5 without proteinuria (disorder),1,20210127
CKD,SNOMED,431855005,Chronic kidney disease stage 1 (disorder),1,20210127
CKD,SNOMED,431856006,Chronic kidney disease stage 2 (disorder),1,20210127
CKD,SNOMED,431857002,Chronic kidney disease stage 4 (disorder),1,20210127
CKD,SNOMED,433144002,Chronic kidney disease stage 3 (disorder),1,20210127
CKD,SNOMED,433146000,Chronic kidney disease stage 5 (disorder),1,20210127
CKD,SNOMED,700378005,Chronic kidney disease stage 3A (disorder),1,20210127
CKD,SNOMED,700379002,Chronic kidney disease stage 3B (disorder),1,20210127
CKD,SNOMED,714152005,Chronic kidney disease stage 5 on dialysis (disorder),1,20210127
CKD,SNOMED,731000119105,Chronic kidney disease stage 3 due to type 2 diabetes mellitus (disorder),1,20210127
CKD,SNOMED,949401000000103,Chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A1 (disorder),1,20210127
CKD,SNOMED,949421000000107,Chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A2 (disorder),1,20210127
CKD,SNOMED,949481000000108,Chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A3 (disorder),1,20210127
CKD,SNOMED,949521000000108,Chronic kidney disease with glomerular filtration rate category G2 and albuminuria category A1 (disorder),1,20210127
CKD,SNOMED,949561000000100,Chronic kidney disease with glomerular filtration rate category G2 and albuminuria category A2 (disorder),1,20210127
CKD,SNOMED,949621000000109,Chronic kidney disease with glomerular filtration rate category G2 and albuminuria category A3 (disorder),1,20210127
CKD,SNOMED,949881000000106,Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A1 (disorder),1,20210127
CKD,SNOMED,949901000000109,Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A2 (disorder),1,20210127
CKD,SNOMED,949921000000100,Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A3 (disorder),1,20210127
CKD,SNOMED,950061000000103,Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1 (disorder),1,20210127
